,0,1,2,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,keywords
0,111111111,265,323,58.0,0,0,,,,1.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
1,111111111,1795,1935,140.0,0,0,,,,1.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
2,111111111,149,157,8.0,0,0,,,,2.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
3,111111111,1069,1091,22.0,0,0,,,,2.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
4,111111111,1334,1462,128.0,0,0,He,,,1.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
5,111111111,1577,1616,39.0,0,0,,,,1.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
6,111111111,2023,2086,63.0,0,0,,,,1.0,"['outbreak', 'plagu', 'will', 'ebola', 'said']"
7,111111112,191,221,30.0,0,0,,,America,2.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
8,111111112,476,556,80.0,0,0,,,,1.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
9,111111112,785,798,13.0,0,0,,,,2.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
10,111111112,958,1015,57.0,0,0,,Magna Carta,,1.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
11,111111112,1456,1536,80.0,0,0,,,UK,1.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
12,111111112,1810,1824,14.0,0,0,,,,1.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
13,111111112,2095,2125,30.0,0,0,,,,3.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
14,111111112,911,942,31.0,0,0,,,,3.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
15,111111112,1738,1787,49.0,0,0,,,,1.0,"['church', 'bishop', 'say', 'cathol', 'priest']"
16,111111113,1396,1430,34.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
17,111111113,3082,3099,17.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
18,111111113,3828,3985,157.0,0,0,,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
19,111111113,361,469,108.0,0,0,Steinle,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
20,111111113,3580,3741,161.0,0,0,him,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
21,111111113,4865,5007,142.0,0,0,Steinle,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
