id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
0,"I'm sure Patel felt very, like, accepted",1,40.00,0,0,Patel,,,1.00,0.35,0.59,81.29,0.00
1,Patel is 32.,0,12.00,0,0,Patel,,,2.00,0.00,0.00,93.81,0.00
2,"“When older generations say you need to stop being so sensitive, it’s like undermining what our generation is trying to do in accepting others and making it safer.”",0,164.00,0,0,,,,1.00,0.13,0.62,43.06,0.00
3,"Obviously the world is not a safe space but just accepting that it’s not and continuing to perpetuate the un-safeness of it… is saying that it can’t be changed,” said Jao.",0,171.00,0,0,Jao,,,1.00,-0.12,0.50,48.47,0.00
4,“I really dislike when people who are older say that our generation needs to be exposed to the real world.,0,106.00,0,0,,,,3.00,0.19,0.28,59.64,0.00
5,"For Sofia Jao, BC ‘22, problems with the performance resided not in the set, but with Patel’s closing remarks.",0,110.00,0,0,"Patel, Sofia Jao",,,1.00,0.00,0.00,77.57,0.00
6,This is Columbia.,0,17.00,0,0,,,,1.00,0.00,0.00,59.97,0.00
7,The real world?,0,15.00,1,0,,,,2.00,0.20,0.30,93.81,0.00
8,"Patel pushed back on the officials’ remarks, and said that while he stood in solidarity with Asian American identities, none of his remarks were offensive, and he was exposing the audience to ideas that would be found “in the real world.” Before he could finish, Patel’s microphone was cut from off-stage, and he proceeded to leave.",0,332.00,0,0,"Patel, his, he",,,1.00,0.05,0.08,23.10,0.00
9,"Comrades, these jokes you have been listening to are thought crimes",1,67.00,0,0,,,,1.00,0.00,0.00,85.69,0.00
10,"About 30 minutes into Patel’s set, members of AAA interrupted the performance, denounced his jokes about racial identities and sexual orientation, and provided him with a few moments for closing remarks.",0,203.00,0,0,"Patel, his, him",AAA,,1.00,0.15,0.47,31.55,0.00
11,Which is now a hate crime.,0,26.00,0,0,,,,1.00,-0.80,0.90,116.15,0.00
12,It's also a version of a Sammy Davis Jr joke about converting to Judaism.,0,73.00,0,0,Sammy Davis Jr,,,2.00,0.00,0.00,74.19,0.00
13,"I can't imagine what they would have made of Richard Pryor, or at this point even, Chris Rock.",0,94.00,0,0,"Richard Pryor, Chris Rock",,,1.00,0.00,0.00,95.51,0.00
14,Columbia snowflakes ,1,20.00,0,0,,,,2.00,0.00,0.00,-6.70,0.00
15,"no one looks in the mirror and thinks, ‘this black thing is too easy, let me just add another thing to it",1,105.00,0,0,,,,1.00,0.13,0.63,91.45,0.00
16,"During the event, Patel’s performance featured commentary on his experience living in a diverse area of New York City—including a joke about a gay, black man in his neighborhood—which AAA officials deemed inappropriate.",0,219.00,0,0,"Patel, his",AAA,,1.00,0.13,0.49,37.98,0.00
17,Patel has previously performed on Late Night with Seth Meyers and opened for comedians such as Chris Rock.,0,106.00,0,0,"Patel, Seth Meyers, Chris Rock",,,3.00,-0.16,0.42,61.67,0.00
18,"Patel, 32, was the first Indian-American writer for SNL, and has since been nominated for an Emmy Award for Outstanding Writing.",0,128.00,0,0,Patel,,,1.00,0.38,0.60,50.16,0.00
19,"Saturday Night Live writer and comedian Nimesh Patel was pulled from the stage by event organizers after telling jokes that were criticized as racist and homophobic during his performance at cultureSHOCK: Reclaim, an event held by Columbia Asian American Alliance on Friday night.",0,280.00,0,0,"Nimesh Patel, his",Columbia Asian American Alliance,,1.00,0.05,0.17,27.83,0.00
20,This is what its corpse looks like.,0,35.00,0,0,,,,1.00,0.00,0.00,115.13,0.00
21,Also the Left killed comedy.,0,28.00,0,0,,,,2.00,-0.10,0.00,66.40,0.00
22,social justice crybullying ,1,27.00,0,0,,,,2.00,0.03,0.07,-50.02,0.00
23,Andy Warhol was only half-right.,0,32.00,0,0,Andy Warhol,,,1.00,0.00,1.00,83.32,0.00
24,"SNL Indian Comedian Silenced for ""Offensive Jokes"" at Columbia",0,62.00,0,0,,,,1.00,0.00,0.00,20.04,0.00
25,Comments,0,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
26,"Posted by b on November 29, 2018 at 10:23 AM | Permalink",0,56.00,0,0,,,,1.00,0.00,0.00,68.77,0.00
27,"If you appreciated this one, or any of the 7,000+ others, please consider a donation.",0,85.00,0,0,,,,1.00,0.20,0.10,56.25,0.00
28,No one pays me to write these blog posts.,0,41.00,0,0,,,,2.00,0.00,0.00,113.10,0.00
29,This is a Moon of Alabama fundraiser week.,0,42.00,0,0,,,,1.00,0.00,0.00,80.28,0.00
30,---,0,3.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
31,It is on all of us to debunk them and to educate the public about their scheme,1,78.00,0,0,,,,3.00,0.00,0.07,88.06,0.00
32,peddle smears ,1,14.00,0,0,,,,2.00,0.00,0.00,35.61,0.00
33,Unfortunately no western main stream media can any longer be trusted to publish the truth,1,89.00,0,0,,,,1.00,0.08,0.17,64.71,0.00
34,"When 'western' intelligence get caught in spreading disinformation, they accuse Russia of being the source of the fake.",0,119.00,0,0,,,Russia,1.00,-0.25,0.50,44.75,0.00
35,We have seen a similar pattern in the Skripal affair.,0,53.00,0,0,,,,1.00,0.00,0.40,69.79,0.00
36,That claim was later removed.,0,29.00,0,0,,,,2.00,0.00,0.00,83.32,0.00
37,It also included the false claim that Glenn Greenwald worked with Wikileaks on the Snowden papers.,0,98.00,0,0,"Snowden, Wikileaks, Glenn Greenwald",,,1.00,-0.40,0.60,72.16,0.00
38,fake news ,1,10.00,0,0,,,,1.00,-0.50,1.00,77.91,0.00
39,The is zero evidence in the Politico screed that supports its suggestions and claims.,0,85.00,0,0,,,,1.00,0.00,0.00,65.73,0.00
