,sentence,span,propaganda
0,"Next plague outbreak in Madagascar could be 'stronger': WHO
","Next plague outbreak in Madagascar could be 'stronger': WHO
",0
1,"Geneva - The World Health Organisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.
",appeared,1
2,"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""
",The next transmission could be more pronounced or stronger,1
3,"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.
","An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.
",0
4,"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.
","Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.
",0
5,"The disease tends to make a comeback each hot rainy season, from September to April.
","The disease tends to make a comeback each hot rainy season, from September to April.
",0
6,"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.
","On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.
",0
7,"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""
","a very, very different",1
8,"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.
","Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.
",0
9,"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.
","The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.
",0
10,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.
","He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",1
11,"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.
",but warned that the danger was not over,1
12,"The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.
","The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.
",0
13,"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.
","when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",1
14,"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.
",it could even spill over into neighbouring countries and beyond,1
15,"Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.
","Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.
",0
16,"""That's a dangerous combination,"" Tedros said.
","""That's a dangerous combination,"" Tedros said.
",0
17,"US bloggers banned from entering UK
","US bloggers banned from entering UK
",0
18,"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
","Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",0
19,"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
","Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",0
20,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
","They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",0
21,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
","A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",0
22,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",We condemn all those whose behaviours and views run counter to our shared values,1
23,"'Right decision'
","'Right decision'
",0
24,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
","Defeat Jihad""",1
25,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",a striking blow against freedom,1
26,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
","They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",0
27,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
","Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",0
28,"This is the right decision.
","This is the right decision.
",0
29,"The UK should never become a stage for inflammatory speakers who promote hate.""
","The UK should never become a stage for inflammatory speakers who promote hate.""
",0
30,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
","EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",0
31,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",so-called land of democracy and freedom of speech,1
32,"""How many hate preachers are living in this country?
",hate preachers,1
33,"It just shows what sort of a two-tier system we have here.""
","It just shows what sort of a two-tier system we have here.""
",0
34,"'Foster hatred'
","'Foster hatred'
",0
35,"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
","Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",0
36,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
","A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",0
37,"""These two are among some of the most extreme anti-Muslim activists in the world.
","""These two are among some of the most extreme anti-Muslim activists in the world.
",0
38,"They've nothing to contribute to life in this country.
","They've nothing to contribute to life in this country.
",0
39,"""They're not here to contribute to good community relations.
","""They're not here to contribute to good community relations.
",0
40,"They only wanted to come here and help the EDL stir up more trouble.
","They only wanted to come here and help the EDL stir up more trouble.
",0
41,"Britain doesn't need more hate even just for a few days.""
","Britain doesn't need more hate even just for a few days.""
",0
42,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
","Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",0
43,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
","The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",0
44,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
","Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",0
45,"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
","Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
",0
46,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",firestorm of outrage ,1
47,"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
","Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",0
48,"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
","The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",0
49,"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
","Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",0
50,"The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
","The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
",0
51,"Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
","Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
",0
52,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters.
",hair trigger in single-action mode,1
53,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
","Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
",0
54,"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
","Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
",0
55,"They said Garcia Zarate then threw the weapon into the bay and fled the scene.
","They said Garcia Zarate then threw the weapon into the bay and fled the scene.
",0
56,"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
","Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
",0
57,"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
","At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
",0
58,"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
","He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
",0
59,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
","San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
",0
60,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.
","sanctuary"" policy",1
61,"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
","As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
",0
62,"The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
","The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
",0
63,"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
","San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
",0
64,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.
","This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",1
65,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""
","politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",1
66,"But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.
","But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.
",0
67,"The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.
","The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.
",0
68,"Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.
","Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.
",0
69,"San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.
","San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.
",0
70,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.
",Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.,1
71,"President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""
","President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""
",0
72,"Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""
","Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""
",0
73,"Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.
","Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.
",0
74,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.
",The Kate Steinle killer ,1
75,"His exoneration is a complete travesty of justice.
",a complete travesty of justice.,1
76,"BUILD THE WALL!""
","BUILD THE WALL!""",1
77,"Trump tweeted.
","Trump tweeted.
",0
78,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.
","In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.
",0
79,"Lax border security, too, does not appear to be a factor since Garcia Zarate was caught by border patrol agents each time he entered the country under the Obama administration.
","Lax border security, too, does not appear to be a factor since Garcia Zarate was caught by border patrol agents each time he entered the country under the Obama administration.
",0
80,"In contrast, Steinle's family has expressed nuanced views on immigration and ""sanctuary"" policies.
","In contrast, Steinle's family has expressed nuanced views on immigration and ""sanctuary"" policies.
",0
81,"They have both condemned Trump for ""sensationalizing"" Steinle's death to advance anti-immigration policies, and expressed frustration with San Francisco officials, who they believe went too far in refusing to cooperate with federal immigration authorities.
","They have both condemned Trump for ""sensationalizing"" Steinle's death to advance anti-immigration policies, and expressed frustration with San Francisco officials, who they believe went too far in refusing to cooperate with federal immigration authorities.
",0
82,"U.S. judge frees Indonesian immigrant held by Trump order
","U.S. judge frees Indonesian immigrant held by Trump order
",0
83,"A U.S. judge on Wednesday ordered the release of an illegal immigrant who is among 47 Indonesians in New Hampshire challenging the Trump administration’s order to deport them.
","A U.S. judge on Wednesday ordered the release of an illegal immigrant who is among 47 Indonesians in New Hampshire challenging the Trump administration’s order to deport them.
",0
84,"SPONSORED
","SPONSORED
",0
85,"Rombot, part of a wave of Indonesian Christians who fled their country following deadly riots in 1998, learned of the policy change when he appeared for an Aug. 1 check-in with ICE and was arrested.
","Rombot, part of a wave of Indonesian Christians who fled their country following deadly riots in 1998, learned of the policy change when he appeared for an Aug. 1 check-in with ICE and was arrested.
",0
86,"“He walks out of the courthouse right now,” Chief U.S. District Judge Patti Saris said after concluding that Rombot’s detention violated his rights.
","“He walks out of the courthouse right now,” Chief U.S. District Judge Patti Saris said after concluding that Rombot’s detention violated his rights.
",0
87,"He walked out of the U.S. District Court in Boston in his blue jail scrubs, without a chance to change into street clothes.
","He walked out of the U.S. District Court in Boston in his blue jail scrubs, without a chance to change into street clothes.
",0
88,"Rombot’s lawyers said he was arrested despite a 2015 letter from ICE saying he would have a chance to prepare for an “orderly” departure.
","Rombot’s lawyers said he was arrested despite a 2015 letter from ICE saying he would have a chance to prepare for an “orderly” departure.
",0
89,"The judge cited that letter during Wednesday’s hearing in holding that Rombot’s detention despite ICE’s previous guidance violated his due process rights under the U.S. Constitution.
","The judge cited that letter during Wednesday’s hearing in holding that Rombot’s detention despite ICE’s previous guidance violated his due process rights under the U.S. Constitution.
",0
90,"“This is what intent was, that he would be given the opportunity to leave under his own steam and not under shackles,” she said.
","“This is what intent was, that he would be given the opportunity to leave under his own steam and not under shackles,” she said.
",0
91,"Outside the courtroom, Rombot said: “I just want to say thank you to my attorney, my pastor and all of my friends.”
","Outside the courtroom, Rombot said: “I just want to say thank you to my attorney, my pastor and all of my friends.”
",0
92,"The U.S. Attorney’s office is considering an appeal, a spokeswoman said.
","The U.S. Attorney’s office is considering an appeal, a spokeswoman said.
",0
93,"ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.
","ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.
",0
94,"The Indonesians are part of an ethnic community of about 2,000 people clustered around the city of Dover in New Hampshire’s seacoast region.
","The Indonesians are part of an ethnic community of about 2,000 people clustered around the city of Dover in New Hampshire’s seacoast region.
",0
95,"Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.
","Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.
",0
96,"Their cause has drawn the support of Republican Governor Chris Sununu and New Hampshire’s all-Democratic congressional delegation, including U.S.
","Their cause has drawn the support of Republican Governor Chris Sununu and New Hampshire’s all-Democratic congressional delegation, including U.S.
",0
97,"Senator Jeanne Shaheen.
","Senator Jeanne Shaheen.
",0
98,"Saris previously ordered a stay to the deportations.
","Saris previously ordered a stay to the deportations.
",0
99,"She is currently weighing whether she can order a longer delay to give the affected people time to renew their efforts to gain legal status.
","She is currently weighing whether she can order a longer delay to give the affected people time to renew their efforts to gain legal status.
",0
100,"Here are all the sexual misconduct accusations against Sen. Al Franken
","Here are all the sexual misconduct accusations against Sen. Al Franken
",0
101,"Sen. Al Franken announced his resignationon the Senate floor Thursday morning, as Democratic calls for his resignation mount following the latest sexual misconduct accusations against him.
","Sen. Al Franken announced his resignationon the Senate floor Thursday morning, as Democratic calls for his resignation mount following the latest sexual misconduct accusations against him.
",0
102,"About 30 Senate Democrats, starting with women, have urged the Minnesota Democrat to step down.
","About 30 Senate Democrats, starting with women, have urged the Minnesota Democrat to step down.
",0
103,"Franken on Thursday denied most of the allegations, which started to surface last month.
","Franken on Thursday denied most of the allegations, which started to surface last month.
",0
104,"Here are the eight accusations he faces:
","Here are the eight accusations he faces:
",0
105,"Leeann Tweeden, a radio news anchor, says Franken groped and forcibly kissed her during a USO tour in 2006, before the former comedian was a senator.
","Leeann Tweeden, a radio news anchor, says Franken groped and forcibly kissed her during a USO tour in 2006, before the former comedian was a senator.
",0
106,"She says Franken ""aggressively stuck his tongue in my mouth"" when the pair rehearsed a skit that featured a kiss.
","aggressively stuck his tongue in my mouth""",1
107,"A photo also surfaced showing Franken looking at a camera while pretending to grab Tweeden's breasts as she was sleeping while clothed.
","A photo also surfaced showing Franken looking at a camera while pretending to grab Tweeden's breasts as she was sleeping while clothed.
",0
108,"The senator apologized for the photo but said he remembered the skit incident differently.
","The senator apologized for the photo but said he remembered the skit incident differently.
",0
109,"Lindsay Menz says Franken grabbed her buttocks when the pair posed for a photo at the Minnesota State Fair in 2010.
","Lindsay Menz says Franken grabbed her buttocks when the pair posed for a photo at the Minnesota State Fair in 2010.
",0
110,"Franken later said he did not remember taking the picture but ""felt badly"" that Menz felt disrespected.
","Franken later said he did not remember taking the picture but ""felt badly"" that Menz felt disrespected.
",0
