id,span,propaganda
0,"I'm sure Patel felt very, like, accepted",1
1,Patel is 32.,0
2,"“When older generations say you need to stop being so sensitive, it’s like undermining what our generation is trying to do in accepting others and making it safer.”",0
3,"Obviously the world is not a safe space but just accepting that it’s not and continuing to perpetuate the un-safeness of it… is saying that it can’t be changed,” said Jao.",0
4,“I really dislike when people who are older say that our generation needs to be exposed to the real world.,0
5,"For Sofia Jao, BC ‘22, problems with the performance resided not in the set, but with Patel’s closing remarks.",0
6,This is Columbia.,0
7,The real world?,0
8,"Patel pushed back on the officials’ remarks, and said that while he stood in solidarity with Asian American identities, none of his remarks were offensive, and he was exposing the audience to ideas that would be found “in the real world.” Before he could finish, Patel’s microphone was cut from off-stage, and he proceeded to leave.",0
9,"Comrades, these jokes you have been listening to are thought crimes",1
10,"About 30 minutes into Patel’s set, members of AAA interrupted the performance, denounced his jokes about racial identities and sexual orientation, and provided him with a few moments for closing remarks.",0
11,Which is now a hate crime.,0
12,It's also a version of a Sammy Davis Jr joke about converting to Judaism.,0
13,"I can't imagine what they would have made of Richard Pryor, or at this point even, Chris Rock.",0
14,Columbia snowflakes ,1
15,"no one looks in the mirror and thinks, ‘this black thing is too easy, let me just add another thing to it",1
16,"During the event, Patel’s performance featured commentary on his experience living in a diverse area of New York City—including a joke about a gay, black man in his neighborhood—which AAA officials deemed inappropriate.",0
17,Patel has previously performed on Late Night with Seth Meyers and opened for comedians such as Chris Rock.,0
18,"Patel, 32, was the first Indian-American writer for SNL, and has since been nominated for an Emmy Award for Outstanding Writing.",0
19,"Saturday Night Live writer and comedian Nimesh Patel was pulled from the stage by event organizers after telling jokes that were criticized as racist and homophobic during his performance at cultureSHOCK: Reclaim, an event held by Columbia Asian American Alliance on Friday night.",0
20,This is what its corpse looks like.,0
21,Also the Left killed comedy.,0
22,social justice crybullying ,1
23,Andy Warhol was only half-right.,0
24,"SNL Indian Comedian Silenced for ""Offensive Jokes"" at Columbia",0
25,Comments,0
26,"Posted by b on November 29, 2018 at 10:23 AM | Permalink",0
27,"If you appreciated this one, or any of the 7,000+ others, please consider a donation.",0
28,No one pays me to write these blog posts.,0
29,This is a Moon of Alabama fundraiser week.,0
30,---,0
31,It is on all of us to debunk them and to educate the public about their scheme,1
32,peddle smears ,1
33,Unfortunately no western main stream media can any longer be trusted to publish the truth,1
34,"When 'western' intelligence get caught in spreading disinformation, they accuse Russia of being the source of the fake.",0
35,We have seen a similar pattern in the Skripal affair.,0
36,That claim was later removed.,0
37,It also included the false claim that Glenn Greenwald worked with Wikileaks on the Snowden papers.,0
38,fake news ,1
39,The is zero evidence in the Politico screed that supports its suggestions and claims.,0
40,"If this latest story about Manafort and Assange is false—that is, if, for example, the sources lied to Harding and Collyns (or if the sources themselves were lied to and thus thought they were being truthful in their statements to the journalists), or if the Ecuadorian intelligence document is a fake, the most logical explanation is that it is an attempt to make Harding look bad.",0
41,...,0
42,Harding is likely a major target for anyone wrapped up in Russia’s intelligence operation against the West’s democratic institutions.,0
43,...,0
44,Is it possible someone planted this story as a means to discredit the journalists,1
45,the bombshell smoking gun that directly connects the Trump campaign to WikiLeaks,1
46,"Politico allowed ""a former CIA officer,"" writing under a pen name, to suggest - without any evidence - that the Guardian has been duped - not by its MI5/6 and Ecuadorian spy sources, but by Russian disinformation",1
47,smear,1
48,Within hours of being published the Guardian piece was debunked as fake news.,0
49,Unfortunately other 'western' media are not much better.,0
50,There is no longer any line that it does not dare to cross.,0
51,It is openly publishing Goebbels' cartoons and rhetoric against Europes biggest state.,0
52,to smear ,1
53,It did what it is designed to do.,0
54,The Guardian did not make a mistake in vilifying Assange without a shred of evidence.,0
55,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order: ...",0
56,"With this story, it has done what it regularly does when supposedly vital western foreign policy interests are at stake – it simply regurgitates an elite-serving, western narrative",1
57,to vilify him,1
58,"Jonathan Cook, a former Guardian writer, makes a similar point:",0
59,"Harding is not a defacement or a departure from the norm, but the personification of it.",0
60,"It is no accident that Luke Harding is still employed: in fact, it is because of Harding’s consistent loyalty to establishment, specifically the UK intelligence apparatus, over the truth that determines his “success” amongst legacy press outlets.",0
61,"While most readers with functional critical thinking capacity may readily dismiss the Guardian’s smear on its face, the fact that the Guardian published this piece, and that Luke Harding is still operating with even the tiniest modicum of respect as a journalist despite his history of deceit, tells us something bone-chilling about journalism",1
62,As Disobediant Media notes (emphasis in the original):,0
63,That seems to have become its main purpose.,0
64,It uncritically peddled the Russiagate story and the nonsensical Skripal claims which are both obviously concocted by British intelligence services.,0
65,It smeared Assange and Snowden as Russian collaborators.,0
66,The Guardian has become a main outlet for British government disinformation operations aimed at defaming Russia.,0
67,It disregarded and left out the denials the subjects of the story had issued before it was published.,0
68,The story was completely false and the Guardian knew it was.,0
69,Guardian smear piece ,1
70,Wikileaks opened a fund to support the lawsuit.,0
71,Half an hour later Julian Assange instructed his lawyers to sue the Guardian for libel.,0
72,At 21:05 utc a third version was published which included Manafort's denial.,0
73,Manafort asserts that his lawyers had notified the Guardian that the story was false before the Guardian 'proceeded with the story'.,0
74,Wikileaks publicly denied the Guardian's claims 90 minutes before the story was first published.,0
75,"This defensive Guardian claim is, like its story, evidently completely false.",0
76,We have since updated the story to reflect their denials.,0
77,Neither responded to deny the visits taking place.,0
78,We put these allegations to both Paul Manafort and Julian Assange's representatives prior to publication.,0
79,This story relied on a number of sources.,0
80,"At 16:30 utc, under fire from other media and journalists, the Guardian issued a statement:",0
81,a hoax,1
82,In a series of tweets WikiLeaks said Assange and Manafort had not met.,0
83,One paragraph was added to included Wikileaks' denial:,0
84,His lawyers initially declined to answer the Guardian’s questions about the visits.,0
85,the claim is “100% false,1
86,...,0
87,Why Manafort might have sought out Assange in 2013 is unclear.,0
88,...,0
89,"But the last apparent meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia.",0
90,It is unclear why Manafort would have wanted to see Assange and what was discussed.,0
91,"Manafort held secret talks with Assange in Ecuadorian embassy, sources say ...",0
92,No editorial note was attached to inform the readers of the changes:,0
